classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
AdaBoost,nan,nan,NA,nan,1324,nan,nan,0.973404255319149,785.1145451068878
AdaBoost,nan,nan,NA,nan,1345,nan,nan,0.9787234042553191,791.3440990447998
AdaBoost,nan,nan,NA,nan,864,nan,nan,0.9787234042553191,796.7224161624908
AdaBoost,nan,nan,NA,nan,1878,nan,nan,0.973404255319149,803.9591522216797
AdaBoost,nan,nan,NA,nan,286,nan,nan,0.9787234042553191,808.2959651947021
AdaBoost,nan,nan,NA,nan,1611,nan,nan,0.973404255319149,815.0960669517517
AdaBoost,nan,nan,NA,nan,1748,nan,nan,0.973404255319149,822.234913110733
AdaBoost,nan,nan,NA,nan,1270,nan,nan,0.9787234042553191,828.4430921077728
AdaBoost,nan,nan,NA,nan,1294,nan,nan,0.973404255319149,834.6727499961853
AdaBoost,nan,nan,NA,nan,1259,nan,nan,0.9787234042553191,840.8150022029877
RandomForest,nan,nan,NA,73,232,nan,nan,0.9627659574468085,844.9434940814972
AdaBoost,nan,nan,NA,nan,860,nan,nan,0.973404255319149,850.2793719768524
AdaBoost,nan,nan,NA,nan,520,nan,nan,0.9787234042553191,855.5833570957184
AdaBoost,nan,nan,NA,nan,895,nan,nan,0.9787234042553191,861.0111651420593
AdaBoost,nan,nan,NA,nan,238,nan,nan,0.9680851063829787,865.2032041549683
AdaBoost,nan,nan,NA,nan,970,nan,nan,0.9840425531914894,871.9603021144867
AdaBoost,nan,nan,NA,nan,871,nan,nan,0.9787234042553191,877.378445148468
RandomForest,nan,nan,NA,4,213,nan,nan,0.9574468085106383,881.4961750507355
AdaBoost,nan,nan,NA,nan,516,nan,nan,0.9787234042553191,886.2628362178802
AdaBoost,nan,nan,NA,nan,1282,nan,nan,0.9787234042553191,892.5149970054626
AdaBoost,nan,nan,NA,nan,330,nan,nan,0.9787234042553191,896.9140892028809
AdaBoost,nan,nan,NA,nan,1773,nan,nan,0.973404255319149,903.982381105423
